id,CustomerType,Class,satisfaction
44586,Loyal Customer,Eco,neutral or dissatisfied
103793,Loyal Customer,Business,satisfied
93909,Loyal Customer,Business,satisfied
126917,Loyal Customer,Business,satisfied
8782,Loyal Customer,Business,satisfied
663,Loyal Customer,Business,satisfied
74740,Loyal Customer,Eco,neutral or dissatisfied
125451,Loyal Customer,Business,satisfied
106258,Loyal Customer,Business,satisfied
39916,Loyal Customer,Business,satisfied
16505,Loyal Customer,Eco,neutral or dissatisfied
63771,Loyal Customer,Business,satisfied
51960,disloyal Customer,Eco,neutral or dissatisfied
89581,Loyal Customer,Eco,neutral or dissatisfied
105654,disloyal Customer,Eco,neutral or dissatisfied
98183,disloyal Customer,Business,neutral or dissatisfied
83683,disloyal Customer,Eco,satisfied
110103,Loyal Customer,Business,satisfied
57026,Loyal Customer,Business,satisfied
55470,Loyal Customer,Business,satisfied
2034,Loyal Customer,Business,satisfied
37286,Loyal Customer,Eco,satisfied
44039,Loyal Customer,Eco,neutral or dissatisfied
85600,disloyal Customer,Eco,satisfied
81553,Loyal Customer,Business,satisfied
68900,Loyal Customer,Eco,satisfied
43811,Loyal Customer,Business,satisfied
37225,Loyal Customer,Business,satisfied
43935,Loyal Customer,Eco Plus,satisfied
75859,Loyal Customer,Eco,neutral or dissatisfied
81441,Loyal Customer,Business,satisfied
42242,Loyal Customer,Business,satisfied
8085,Loyal Customer,Business,satisfied
42926,Loyal Customer,Business,satisfied
114663,Loyal Customer,Business,satisfied
2902,Loyal Customer,Eco,neutral or dissatisfied
17284,Loyal Customer,Business,satisfied
37834,Loyal Customer,Business,satisfied
126642,Loyal Customer,Business,satisfied
91319,disloyal Customer,Business,neutral or dissatisfied
67702,Loyal Customer,Business,satisfied
48253,Loyal Customer,Eco,neutral or dissatisfied
117314,Loyal Customer,Eco Plus,neutral or dissatisfied
47037,Loyal Customer,Business,satisfied
115397,disloyal Customer,Eco,neutral or dissatisfied
66071,Loyal Customer,Eco,neutral or dissatisfied
33552,disloyal Customer,Eco,neutral or dissatisfied
34210,Loyal Customer,Eco,neutral or dissatisfied
112110,disloyal Customer,Business,neutral or dissatisfied
96830,Loyal Customer,Business,satisfied
98908,Loyal Customer,Business,satisfied
111496,Loyal Customer,Business,satisfied
26935,Loyal Customer,Eco,satisfied
81010,Loyal Customer,Business,satisfied
32348,Loyal Customer,Business,satisfied
88118,Loyal Customer,Business,satisfied
21707,Loyal Customer,Eco,neutral or dissatisfied
30294,Loyal Customer,Business,satisfied
94138,Loyal Customer,Business,satisfied
11244,Loyal Customer,Eco,neutral or dissatisfied
105685,Loyal Customer,Business,satisfied
16311,Loyal Customer,Business,satisfied
19381,Loyal Customer,Business,satisfied
122163,Loyal Customer,Business,satisfied
7179,Loyal Customer,Business,satisfied
20625,Loyal Customer,Eco,satisfied
45303,Loyal Customer,Eco,satisfied
49507,disloyal Customer,Eco,neutral or dissatisfied
63942,Loyal Customer,Eco,neutral or dissatisfied
59017,Loyal Customer,Business,satisfied
21546,Loyal Customer,Eco,neutral or dissatisfied
121044,Loyal Customer,Eco,neutral or dissatisfied
126814,Loyal Customer,Business,satisfied
1936,Loyal Customer,Business,satisfied
9557,Loyal Customer,Business,satisfied
76350,Loyal Customer,Business,satisfied
12479,disloyal Customer,Eco,neutral or dissatisfied
128013,Loyal Customer,Business,satisfied
3468,Loyal Customer,Eco Plus,neutral or dissatisfied
71012,Loyal Customer,Business,satisfied
103164,disloyal Customer,Eco,neutral or dissatisfied
80519,Loyal Customer,Eco,neutral or dissatisfied
107210,disloyal Customer,Business,neutral or dissatisfied
107856,Loyal Customer,Business,satisfied
115872,Loyal Customer,Eco,satisfied
37667,Loyal Customer,Eco,neutral or dissatisfied
107099,Loyal Customer,Eco,neutral or dissatisfied
121318,Loyal Customer,Eco,satisfied
58490,Loyal Customer,Business,satisfied
100263,Loyal Customer,Business,satisfied
97911,disloyal Customer,Business,satisfied
28457,Loyal Customer,Eco,satisfied
104313,Loyal Customer,Business,satisfied
112243,Loyal Customer,Business,satisfied
78234,Loyal Customer,Business,satisfied
23979,Loyal Customer,Business,satisfied
73887,Loyal Customer,Business,satisfied
68000,Loyal Customer,Business,satisfied
69413,Loyal Customer,Business,satisfied
71469,Loyal Customer,Eco Plus,neutral or dissatisfied
55969,Loyal Customer,Business,satisfied
75346,Loyal Customer,Eco,neutral or dissatisfied
46011,Loyal Customer,Eco Plus,neutral or dissatisfied
53413,Loyal Customer,Business,satisfied
128777,Loyal Customer,Business,satisfied
217,Loyal Customer,Eco,neutral or dissatisfied
45852,Loyal Customer,Eco Plus,satisfied
78114,Loyal Customer,Business,satisfied
99600,Loyal Customer,Eco,neutral or dissatisfied
96450,Loyal Customer,Business,satisfied
107479,Loyal Customer,Business,satisfied
98887,Loyal Customer,Eco,neutral or dissatisfied
117443,disloyal Customer,Eco,neutral or dissatisfied
47902,Loyal Customer,Business,satisfied
35611,Loyal Customer,Eco Plus,neutral or dissatisfied
787,Loyal Customer,Business,satisfied
17698,Loyal Customer,Business,satisfied
109937,Loyal Customer,Eco,neutral or dissatisfied
85593,Loyal Customer,Business,satisfied
72336,Loyal Customer,Business,satisfied
129624,Loyal Customer,Business,satisfied
33264,Loyal Customer,Eco Plus,neutral or dissatisfied
61813,Loyal Customer,Eco,neutral or dissatisfied
109352,Loyal Customer,Business,neutral or dissatisfied
79499,Loyal Customer,Business,satisfied
61452,disloyal Customer,Business,satisfied
81025,Loyal Customer,Business,satisfied
119130,Loyal Customer,Business,satisfied
107758,Loyal Customer,Eco,neutral or dissatisfied
71587,Loyal Customer,Business,satisfied
104897,Loyal Customer,Business,satisfied
53833,Loyal Customer,Eco,satisfied
44741,Loyal Customer,Eco Plus,neutral or dissatisfied
71934,Loyal Customer,Eco Plus,satisfied
90137,Loyal Customer,Business,satisfied
5487,Loyal Customer,Business,satisfied
110992,Loyal Customer,Business,satisfied
107024,disloyal Customer,Business,satisfied
52497,Loyal Customer,Business,satisfied
40195,disloyal Customer,Eco,neutral or dissatisfied
29132,Loyal Customer,Eco,neutral or dissatisfied
15661,Loyal Customer,Eco,satisfied
47330,Loyal Customer,Eco,satisfied
105516,Loyal Customer,Business,satisfied
49278,disloyal Customer,Eco,neutral or dissatisfied
88385,Loyal Customer,Business,satisfied
23805,Loyal Customer,Eco,satisfied
49027,Loyal Customer,Eco,satisfied
108847,Loyal Customer,Business,satisfied
112196,Loyal Customer,Business,satisfied
128755,Loyal Customer,Business,satisfied
53072,Loyal Customer,Eco Plus,satisfied
106509,disloyal Customer,Business,neutral or dissatisfied
86905,Loyal Customer,Business,satisfied
11604,Loyal Customer,Eco,neutral or dissatisfied
126508,Loyal Customer,Business,satisfied
97029,Loyal Customer,Eco Plus,neutral or dissatisfied
48727,Loyal Customer,Business,satisfied
4278,Loyal Customer,Business,satisfied
33126,Loyal Customer,Eco,neutral or dissatisfied
98244,Loyal Customer,Business,satisfied
38896,Loyal Customer,Eco,satisfied
80419,Loyal Customer,Business,satisfied
58845,Loyal Customer,Business,satisfied
117009,Loyal Customer,Business,satisfied
62074,Loyal Customer,Business,satisfied
14781,Loyal Customer,Eco,neutral or dissatisfied
78089,Loyal Customer,Eco Plus,neutral or dissatisfied
35145,Loyal Customer,Eco,satisfied
10311,Loyal Customer,Business,satisfied
47781,Loyal Customer,Eco,satisfied
25090,Loyal Customer,Business,satisfied
97427,Loyal Customer,Eco,neutral or dissatisfied
96271,Loyal Customer,Eco,neutral or dissatisfied
74512,Loyal Customer,Business,satisfied
119345,disloyal Customer,Eco,satisfied
55001,Loyal Customer,Business,satisfied
37393,Loyal Customer,Eco,satisfied
116540,Loyal Customer,Eco,neutral or dissatisfied
96574,Loyal Customer,Eco,neutral or dissatisfied
114776,Loyal Customer,Business,satisfied
99991,Loyal Customer,Business,satisfied
24452,Loyal Customer,Business,satisfied
128131,Loyal Customer,Business,satisfied
16712,Loyal Customer,Eco,neutral or dissatisfied
59019,Loyal Customer,Business,satisfied
47318,Loyal Customer,Business,satisfied
104372,Loyal Customer,Business,satisfied
43908,Loyal Customer,Eco,neutral or dissatisfied
94892,Loyal Customer,Eco,satisfied
91704,Loyal Customer,Business,satisfied
21216,Loyal Customer,Eco,satisfied
7286,Loyal Customer,Eco,neutral or dissatisfied
96512,Loyal Customer,Eco,neutral or dissatisfied
19928,Loyal Customer,Eco,neutral or dissatisfied
122772,Loyal Customer,Eco Plus,neutral or dissatisfied
74440,Loyal Customer,Business,satisfied
67623,Loyal Customer,Business,satisfied
77884,Loyal Customer,Eco,neutral or dissatisfied
115386,Loyal Customer,Business,satisfied
117910,Loyal Customer,Business,satisfied
32774,disloyal Customer,Eco,neutral or dissatisfied
1309,Loyal Customer,Business,satisfied
64039,Loyal Customer,Business,satisfied
83946,Loyal Customer,Business,satisfied
124849,Loyal Customer,Eco,neutral or dissatisfied
60676,Loyal Customer,Eco Plus,neutral or dissatisfied
63578,Loyal Customer,Business,satisfied
120873,Loyal Customer,Business,satisfied
44569,Loyal Customer,Eco,satisfied
30511,Loyal Customer,Eco,neutral or dissatisfied
105440,Loyal Customer,Business,satisfied
49898,disloyal Customer,Eco,neutral or dissatisfied
6983,Loyal Customer,Business,satisfied
70108,disloyal Customer,Business,neutral or dissatisfied
73141,Loyal Customer,Eco,satisfied
21866,Loyal Customer,Business,satisfied
75149,Loyal Customer,Business,satisfied
3974,Loyal Customer,Eco Plus,neutral or dissatisfied
15804,Loyal Customer,Eco,neutral or dissatisfied
24367,Loyal Customer,Business,satisfied
53231,Loyal Customer,Eco,neutral or dissatisfied
102646,Loyal Customer,Business,satisfied
97798,Loyal Customer,Eco,neutral or dissatisfied
69022,disloyal Customer,Eco,neutral or dissatisfied
35169,Loyal Customer,Business,satisfied
82719,Loyal Customer,Eco,neutral or dissatisfied
70548,Loyal Customer,Business,satisfied
51594,Loyal Customer,Business,satisfied
5035,disloyal Customer,Business,neutral or dissatisfied
24981,Loyal Customer,Eco,satisfied
61257,Loyal Customer,Eco,neutral or dissatisfied
103464,Loyal Customer,Eco,neutral or dissatisfied
105006,Loyal Customer,Business,satisfied
65305,Loyal Customer,Business,satisfied
41348,Loyal Customer,Eco,satisfied
5825,Loyal Customer,Eco,neutral or dissatisfied
97557,Loyal Customer,Business,satisfied
111988,Loyal Customer,Eco,neutral or dissatisfied
19383,Loyal Customer,Business,satisfied
40475,Loyal Customer,Business,satisfied
53638,Loyal Customer,Eco,neutral or dissatisfied
9300,Loyal Customer,Business,satisfied
49637,Loyal Customer,Business,satisfied
129286,Loyal Customer,Business,satisfied
91569,Loyal Customer,Business,satisfied
103088,Loyal Customer,Eco,neutral or dissatisfied
96249,Loyal Customer,Eco,satisfied
53388,Loyal Customer,Eco,neutral or dissatisfied
38790,disloyal Customer,Eco,neutral or dissatisfied
70260,Loyal Customer,Eco Plus,neutral or dissatisfied
124340,Loyal Customer,Business,satisfied
75764,Loyal Customer,Eco,satisfied
3631,Loyal Customer,Business,satisfied
11640,Loyal Customer,Eco,neutral or dissatisfied
105222,Loyal Customer,Business,satisfied
53763,Loyal Customer,Eco,satisfied
41686,Loyal Customer,Eco,neutral or dissatisfied
20294,Loyal Customer,Eco,neutral or dissatisfied
49994,disloyal Customer,Business,neutral or dissatisfied
62729,Loyal Customer,Business,satisfied
93229,Loyal Customer,Eco,neutral or dissatisfied
73049,Loyal Customer,Business,satisfied
6313,Loyal Customer,Business,satisfied
116276,Loyal Customer,Eco,neutral or dissatisfied
25351,disloyal Customer,Business,satisfied
89175,Loyal Customer,Eco,neutral or dissatisfied
68474,Loyal Customer,Business,satisfied
93577,Loyal Customer,Business,satisfied
10152,Loyal Customer,Eco,neutral or dissatisfied
78051,Loyal Customer,Eco,neutral or dissatisfied
94631,disloyal Customer,Eco,neutral or dissatisfied
2898,Loyal Customer,Eco,neutral or dissatisfied
43128,Loyal Customer,Eco Plus,satisfied
30141,Loyal Customer,Eco,neutral or dissatisfied
121619,Loyal Customer,Eco,neutral or dissatisfied
89717,Loyal Customer,Eco,satisfied
99662,Loyal Customer,Eco,satisfied
102131,disloyal Customer,Business,satisfied
125834,Loyal Customer,Business,satisfied
77914,disloyal Customer,Business,satisfied
41200,Loyal Customer,Business,satisfied
120391,Loyal Customer,Business,satisfied
31950,Loyal Customer,Business,satisfied
754,Loyal Customer,Business,satisfied
83736,Loyal Customer,Business,neutral or dissatisfied
86964,Loyal Customer,Business,satisfied
41105,Loyal Customer,Eco,satisfied
24353,Loyal Customer,Eco,neutral or dissatisfied
127596,Loyal Customer,Business,satisfied
34700,Loyal Customer,Business,satisfied
10286,Loyal Customer,Business,satisfied
57680,Loyal Customer,Business,satisfied
5923,Loyal Customer,Eco,neutral or dissatisfied
106406,Loyal Customer,Eco,neutral or dissatisfied
95987,Loyal Customer,Business,satisfied
34956,Loyal Customer,Eco,neutral or dissatisfied
55788,Loyal Customer,Business,satisfied
99997,Loyal Customer,Business,satisfied
81174,Loyal Customer,Business,satisfied
106519,disloyal Customer,Business,neutral or dissatisfied
123588,Loyal Customer,Eco,neutral or dissatisfied
21173,Loyal Customer,Business,neutral or dissatisfied
67805,Loyal Customer,Business,satisfied
123379,Loyal Customer,Business,satisfied
121372,Loyal Customer,Eco Plus,neutral or dissatisfied
57729,Loyal Customer,Business,satisfied
122538,Loyal Customer,Business,satisfied
4202,Loyal Customer,Business,satisfied
108583,Loyal Customer,Business,satisfied
118731,Loyal Customer,Eco,neutral or dissatisfied
97971,Loyal Customer,Eco,satisfied
69667,Loyal Customer,Eco,neutral or dissatisfied
25165,Loyal Customer,Business,satisfied
126525,Loyal Customer,Eco Plus,neutral or dissatisfied
115947,Loyal Customer,Eco,satisfied
100862,Loyal Customer,Business,satisfied
73367,Loyal Customer,Business,satisfied
27765,disloyal Customer,Eco,neutral or dissatisfied
49286,Loyal Customer,Business,satisfied
63965,Loyal Customer,Business,satisfied
66385,disloyal Customer,Business,neutral or dissatisfied
14185,disloyal Customer,Eco,neutral or dissatisfied
128342,Loyal Customer,Business,satisfied
98810,Loyal Customer,Business,satisfied
32719,Loyal Customer,Eco,satisfied
27153,disloyal Customer,Eco,neutral or dissatisfied
37592,disloyal Customer,Eco,neutral or dissatisfied
37062,Loyal Customer,Business,satisfied
99461,Loyal Customer,Business,satisfied
120454,Loyal Customer,Eco,neutral or dissatisfied
3434,Loyal Customer,Eco,neutral or dissatisfied
123751,Loyal Customer,Business,satisfied
52606,Loyal Customer,Eco,satisfied
6987,Loyal Customer,Business,satisfied
28980,Loyal Customer,Business,satisfied
86246,Loyal Customer,Eco,neutral or dissatisfied
81750,disloyal Customer,Business,satisfied
72178,Loyal Customer,Business,satisfied
10537,Loyal Customer,Business,satisfied
1314,Loyal Customer,Business,satisfied
80905,Loyal Customer,Business,satisfied
7788,Loyal Customer,Business,satisfied
95371,Loyal Customer,Eco,neutral or dissatisfied
4517,disloyal Customer,Eco,neutral or dissatisfied
88620,Loyal Customer,Eco,neutral or dissatisfied
38449,Loyal Customer,Business,satisfied
13502,Loyal Customer,Business,satisfied
31611,Loyal Customer,Business,satisfied
105694,Loyal Customer,Business,satisfied
99710,Loyal Customer,Business,satisfied
61166,Loyal Customer,Business,satisfied
107647,Loyal Customer,Business,satisfied
96560,Loyal Customer,Business,satisfied
122911,Loyal Customer,Business,satisfied
28742,Loyal Customer,Business,satisfied
73048,Loyal Customer,Eco,neutral or dissatisfied
125298,Loyal Customer,Business,satisfied
81252,Loyal Customer,Business,neutral or dissatisfied
122104,Loyal Customer,Eco,neutral or dissatisfied
81002,Loyal Customer,Eco,neutral or dissatisfied
121782,Loyal Customer,Business,satisfied
38897,disloyal Customer,Eco,satisfied
62969,Loyal Customer,Business,satisfied
113800,Loyal Customer,Business,satisfied
9604,Loyal Customer,Eco,neutral or dissatisfied
31589,disloyal Customer,Eco,neutral or dissatisfied
25107,Loyal Customer,Business,satisfied
126039,Loyal Customer,Business,satisfied
6976,Loyal Customer,Business,satisfied
72245,Loyal Customer,Business,satisfied
116814,Loyal Customer,Business,satisfied
67369,Loyal Customer,Business,satisfied
101040,Loyal Customer,Business,satisfied
52688,Loyal Customer,Eco Plus,satisfied
117198,Loyal Customer,Eco,neutral or dissatisfied
121998,Loyal Customer,Business,satisfied
124984,Loyal Customer,Business,satisfied
82773,Loyal Customer,Eco Plus,satisfied
22778,disloyal Customer,Eco,neutral or dissatisfied
105174,Loyal Customer,Eco,neutral or dissatisfied
125404,Loyal Customer,Eco,neutral or dissatisfied
42458,Loyal Customer,Eco,satisfied
28716,Loyal Customer,Eco,satisfied
28084,Loyal Customer,Eco,satisfied
77232,Loyal Customer,Business,satisfied
129781,Loyal Customer,Eco,satisfied
120674,Loyal Customer,Business,satisfied
116867,disloyal Customer,Business,neutral or dissatisfied
126055,Loyal Customer,Business,satisfied
64111,Loyal Customer,Business,satisfied
71950,Loyal Customer,Business,satisfied
73609,Loyal Customer,Business,satisfied
124214,Loyal Customer,Eco,neutral or dissatisfied
112479,Loyal Customer,Eco,neutral or dissatisfied
16009,Loyal Customer,Business,satisfied
121174,Loyal Customer,Eco,neutral or dissatisfied
71391,Loyal Customer,Business,satisfied
67570,Loyal Customer,Business,satisfied
12449,Loyal Customer,Eco,neutral or dissatisfied
111069,Loyal Customer,Eco,neutral or dissatisfied
85212,disloyal Customer,Eco,neutral or dissatisfied
123551,Loyal Customer,Business,satisfied
18758,Loyal Customer,Business,satisfied
18971,Loyal Customer,Eco Plus,neutral or dissatisfied
118263,disloyal Customer,Eco,neutral or dissatisfied
49829,Loyal Customer,Business,satisfied
61132,Loyal Customer,Business,satisfied
83528,disloyal Customer,Business,neutral or dissatisfied
29620,Loyal Customer,Business,satisfied
87,Loyal Customer,Eco,neutral or dissatisfied
52120,Loyal Customer,Eco Plus,satisfied
94437,Loyal Customer,Business,satisfied
85045,Loyal Customer,Business,satisfied
101396,disloyal Customer,Eco,neutral or dissatisfied
68930,Loyal Customer,Business,satisfied
109438,Loyal Customer,Business,satisfied
41285,Loyal Customer,Business,satisfied
123391,Loyal Customer,Business,satisfied
111860,Loyal Customer,Business,satisfied
801,Loyal Customer,Business,satisfied
90366,Loyal Customer,Business,satisfied
40401,Loyal Customer,Business,satisfied
65077,Loyal Customer,Eco,neutral or dissatisfied
117721,Loyal Customer,Eco Plus,neutral or dissatisfied
4422,Loyal Customer,Business,satisfied
72887,Loyal Customer,Business,satisfied
4384,Loyal Customer,Eco,neutral or dissatisfied
87180,Loyal Customer,Business,satisfied
71189,Loyal Customer,Business,satisfied
51822,Loyal Customer,Eco Plus,satisfied
109823,Loyal Customer,Business,satisfied
122697,Loyal Customer,Eco,neutral or dissatisfied
37455,Loyal Customer,Business,satisfied
96110,Loyal Customer,Eco,neutral or dissatisfied
6417,Loyal Customer,Eco,neutral or dissatisfied
79344,Loyal Customer,Business,satisfied
5503,Loyal Customer,Eco,neutral or dissatisfied
29199,Loyal Customer,Eco Plus,neutral or dissatisfied
85849,disloyal Customer,Eco,neutral or dissatisfied
26661,disloyal Customer,Eco,neutral or dissatisfied
74646,Loyal Customer,Eco,neutral or dissatisfied
84381,disloyal Customer,Eco,neutral or dissatisfied
1603,Loyal Customer,Eco,neutral or dissatisfied
86323,Loyal Customer,Business,satisfied
95169,Loyal Customer,Eco,neutral or dissatisfied
30115,Loyal Customer,Eco,neutral or dissatisfied
114820,Loyal Customer,Business,satisfied
23116,Loyal Customer,Eco,satisfied
101809,Loyal Customer,Business,satisfied
64404,Loyal Customer,Business,satisfied
98747,Loyal Customer,Eco,neutral or dissatisfied
99409,Loyal Customer,Business,satisfied
91967,Loyal Customer,Eco,neutral or dissatisfied
14032,Loyal Customer,Business,satisfied
70553,Loyal Customer,Business,satisfied
37945,Loyal Customer,Eco Plus,satisfied
116374,Loyal Customer,Eco,neutral or dissatisfied
62143,Loyal Customer,Business,satisfied
34788,Loyal Customer,Eco,neutral or dissatisfied
53810,disloyal Customer,Eco,neutral or dissatisfied
31792,Loyal Customer,Business,satisfied
128601,Loyal Customer,Business,satisfied
73783,Loyal Customer,Business,satisfied
23223,Loyal Customer,Business,satisfied
105217,Loyal Customer,Business,satisfied
109207,Loyal Customer,Business,satisfied
76447,Loyal Customer,Business,satisfied
84135,Loyal Customer,Business,satisfied
31075,Loyal Customer,Eco,neutral or dissatisfied
48732,Loyal Customer,Business,satisfied
53180,Loyal Customer,Business,satisfied
71408,Loyal Customer,Eco,satisfied
38887,Loyal Customer,Eco Plus,neutral or dissatisfied
104589,Loyal Customer,Eco,satisfied
128857,Loyal Customer,Business,satisfied
89318,disloyal Customer,Business,neutral or dissatisfied
46286,Loyal Customer,Eco Plus,neutral or dissatisfied
93205,Loyal Customer,Business,satisfied
68804,Loyal Customer,Eco,neutral or dissatisfied
36220,Loyal Customer,Business,satisfied
101580,Loyal Customer,Business,satisfied
69755,Loyal Customer,Eco,neutral or dissatisfied
99023,Loyal Customer,Business,satisfied
118530,Loyal Customer,Business,satisfied
102965,Loyal Customer,Business,satisfied
64880,Loyal Customer,Business,satisfied
105507,Loyal Customer,Business,satisfied
14035,Loyal Customer,Eco,neutral or dissatisfied
59693,Loyal Customer,Eco,neutral or dissatisfied
119361,Loyal Customer,Business,satisfied
80796,Loyal Customer,Business,satisfied
99472,disloyal Customer,Eco,neutral or dissatisfied
60161,Loyal Customer,Eco,satisfied
62348,Loyal Customer,Business,satisfied
779,Loyal Customer,Business,satisfied
53786,Loyal Customer,Business,satisfied
110324,Loyal Customer,Business,satisfied
60718,disloyal Customer,Business,neutral or dissatisfied
114344,Loyal Customer,Eco,neutral or dissatisfied
107431,Loyal Customer,Eco,neutral or dissatisfied
44460,Loyal Customer,Eco,satisfied
124303,disloyal Customer,Eco,neutral or dissatisfied
94693,Loyal Customer,Business,satisfied
5918,Loyal Customer,Eco,neutral or dissatisfied
71827,Loyal Customer,Business,satisfied
62700,Loyal Customer,Business,satisfied
121785,Loyal Customer,Business,satisfied
25675,Loyal Customer,Eco,neutral or dissatisfied
117329,disloyal Customer,Eco Plus,neutral or dissatisfied
2718,Loyal Customer,Business,satisfied
124983,Loyal Customer,Business,satisfied
111866,Loyal Customer,Business,satisfied
23108,Loyal Customer,Eco,satisfied
33537,Loyal Customer,Business,satisfied
58336,disloyal Customer,Eco,neutral or dissatisfied
43199,Loyal Customer,Eco Plus,neutral or dissatisfied
61861,Loyal Customer,Eco Plus,neutral or dissatisfied
8166,Loyal Customer,Business,satisfied
53309,Loyal Customer,Eco,neutral or dissatisfied
51261,Loyal Customer,Eco Plus,satisfied
122949,Loyal Customer,Business,satisfied
57492,Loyal Customer,Business,satisfied
83983,Loyal Customer,Business,satisfied
111708,Loyal Customer,Business,satisfied
13306,Loyal Customer,Business,satisfied
62931,Loyal Customer,Business,satisfied
117902,Loyal Customer,Business,satisfied
127948,Loyal Customer,Business,satisfied
110437,Loyal Customer,Eco,neutral or dissatisfied
18828,disloyal Customer,Business,satisfied
70538,Loyal Customer,Business,satisfied
56837,Loyal Customer,Business,satisfied
70635,Loyal Customer,Business,satisfied
105265,Loyal Customer,Eco,neutral or dissatisfied
127882,Loyal Customer,Eco,neutral or dissatisfied
63272,Loyal Customer,Business,satisfied
45151,Loyal Customer,Eco,satisfied
55260,Loyal Customer,Business,satisfied
69515,Loyal Customer,Business,satisfied
66310,Loyal Customer,Business,satisfied
66943,Loyal Customer,Business,satisfied
102662,Loyal Customer,Business,satisfied
83558,Loyal Customer,Eco,neutral or dissatisfied
65710,Loyal Customer,Business,satisfied
82867,disloyal Customer,Business,neutral or dissatisfied
119217,Loyal Customer,Eco,neutral or dissatisfied
38621,Loyal Customer,Business,satisfied
36685,Loyal Customer,Eco,neutral or dissatisfied
7545,Loyal Customer,Business,satisfied
29977,disloyal Customer,Eco,neutral or dissatisfied
66569,Loyal Customer,Business,satisfied
55613,Loyal Customer,Eco,neutral or dissatisfied
69257,Loyal Customer,Business,satisfied
97510,Loyal Customer,Business,satisfied
3024,Loyal Customer,Eco,neutral or dissatisfied
114682,Loyal Customer,Business,satisfied
66576,disloyal Customer,Business,neutral or dissatisfied
48993,Loyal Customer,Eco,satisfied
93202,Loyal Customer,Business,satisfied
118110,Loyal Customer,Eco,neutral or dissatisfied
127726,Loyal Customer,Business,satisfied
83378,Loyal Customer,Eco,neutral or dissatisfied
17553,Loyal Customer,Eco,neutral or dissatisfied
83221,Loyal Customer,Business,satisfied
105060,Loyal Customer,Eco Plus,neutral or dissatisfied
